property_type,society,sector,price,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,area,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,emaar gurgaon greens,sector 102,1.4 Crore,8484.0,Super Built up area 1650(153.29 sq.m.),3,3,3,4.0,North,1 to 5 Year Old,,1650.0,,,0,1,0,0,0,1,83
flat,afnhb jalvayu vihar,sector 30,1.3 Crore,10000.0,Super Built up area 1500(139.35 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,3,2,2.0,North-East,10+ Year Old,,1500.0,,1300.0,0,0,0,0,0,0,19
flat,the castle society,sector 56,2 Crore,8695.0,Super Built up area 2300(213.68 sq.m.),4,4,2,4.0,,By 2023,,2300.0,,,0,0,0,0,0,0,0
house,,sector 26,8.1,35294.0,Plot area 255(213.21 sq.m.),5,5,2,4.0,East,10+ Year Old,2295.0,,255.0,,0,0,0,0,0,0,42
flat,4s aradhya homes,sector 67a,1.9 Crore,8863.0,Super Built up area 2200(204.39 sq.m.),4,4,3,3.0,,0 to 1 Year Old,,2200.0,,,0,0,0,0,0,1,62
house,ansals palam vihar,sector 2,2.75,17662.0,Plot area 173(144.65 sq.m.),3,3,3,2.0,,5 to 10 Year Old,1557.0,,173.0,,1,0,0,1,0,1,15
house,,sector 55,3.1,20026.0,Plot area 172(143.81 sq.m.),5,4,3+,2.0,North-East,5 to 10 Year Old,1548.0,,172.0,,0,1,1,0,0,1,59
flat,experion windchants,sector 112,4.75 Crore,12622.0,Super Built up area 3763(349.59 sq.m.),3,5,3+,4.0,West,1 to 5 Year Old,,3763.0,,,0,1,0,0,0,1,42
flat,pivotal devaan,sector 84,35 Lac,7276.0,Super Built up area 583(54.16 sq.m.)Carpet area: 481 sq.ft. (44.69 sq.m.),2,2,1,10.0,West,1 to 5 Year Old,,583.0,,481.0,0,0,1,0,0,0,103
flat,essel towers,sector 14,2.2 Crore,12500.0,Carpet area: 1760 (163.51 sq.m.),3,4,3+,3.0,,undefined,,,,1760.0,0,0,0,0,0,0,0
flat,raheja vedaanta,sector 108,85 Lac,4637.0,Super Built up area 1833(170.29 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,2,2.0,North-East,1 to 5 Year Old,,1833.0,1500.0,1350.0,0,1,0,0,0,0,65
flat,dlf the arbour,sector 63,8.5 Crore,21519.0,Built Up area: 3950 (366.97 sq.m.),4,4,0,27.0,,undefined,,,3950.0,,0,0,0,0,0,0,61
house,sushant lok 1 builder floors,sector 43,1.65,30556.0,Plot area 60(50.17 sq.m.)Built Up area: 540 sq.yards (451.51 sq.m.)Carpet area: 500 sq.yards (418.06 sq.m.),4,4,3+,4.0,West,5 to 10 Year Old,540.0,,540.0,500.0,0,0,0,0,1,2,49
flat,raheja sampada,sector 92,90 Lac,6569.0,Super Built up area 1370(127.28 sq.m.),3,2,3,11.0,East,1 to 5 Year Old,,1370.0,,,0,0,0,0,0,0,88
house,sare crescent parc royal greens phase 1,sector 92,0.85,4877.0,Built Up area: 1743 (161.93 sq.m.),4,4,3,4.0,,undefined,1743.0,,1743.0,,0,0,0,0,0,0,0
flat,ss the leaf,sector 85,1.99 Crore,8659.0,Super Built up area 2408(223.71 sq.m.)Built Up area: 2398 sq.ft. (222.78 sq.m.)Carpet area: 2298 sq.ft. (213.49 sq.m.),3,4,3+,17.0,East,1 to 5 Year Old,,2408.0,2398.0,2298.0,0,1,0,0,0,1,174
flat,shapoorji pallonji joyville gurugram,sector 102,1.05 Crore,11475.0,Carpet area: 915 (85.01 sq.m.),2,2,2,0.0,,Mar 2024,,,,915.0,0,0,0,0,0,0,49
flat,sidhartha ncr one,sector 95,56 Lac,4106.0,Built Up area: 1364 (126.72 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,2,10.0,,undefined,,,1364.0,1200.0,0,0,0,0,0,0,0
flat,ats kocoon,sector 109,2.22 Crore,10596.0,Super Built up area 2095(194.63 sq.m.)Built Up area: 1860 sq.ft. (172.8 sq.m.),3,4,3,14.0,East,1 to 5 Year Old,,2095.0,1860.0,,1,1,1,1,0,0,45
flat,emaar gurgaon greens,sector 102,1.45 Crore,8787.0,Super Built up area 1650(153.29 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),3,3,3,8.0,North-East,1 to 5 Year Old,,1650.0,1300.0,1100.0,0,1,0,0,0,0,49
flat,antriksh heights,sector 84,90 Lac,6206.0,Super Built up area 1725(160.26 sq.m.)Built Up area: 1525 sq.ft. (141.68 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,3,3+,12.0,North-East,1 to 5 Year Old,,1725.0,1525.0,1450.0,0,0,0,0,0,0,166
flat,ireo the corridors,sector 67a,1.3 Crore,10031.0,Built Up area: 1296 (120.4 sq.m.),2,2,2,1.0,,undefined,,,1296.0,,0,0,0,0,0,0,55
house,not applicable,sector 4,0.65,13000.0,Plot area 500(46.45 sq.m.),2,1,1,3.0,East,5 to 10 Year Old,500.0,,500.0,,0,0,0,0,0,0,7
flat,sidhartha ncr one,sector 95,55 Lac,5556.0,Built Up area: 990 (91.97 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2,2,3,15.0,North-East,undefined,,,990.0,950.0,0,0,0,0,0,0,0
flat,ss the leaf,sector 85,1.09 Crore,6661.0,Super Built up area 1640(152.36 sq.m.)Built Up area: 1475 sq.ft. (137.03 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),2,2,3,5.0,North-East,1 to 5 Year Old,,1640.0,1475.0,1350.0,0,0,0,0,0,0,49
flat,paras dews,sector 106,1.32 Crore,5605.0,Super Built up area 2355(218.79 sq.m.)Built Up area: 1535 sq.ft. (142.61 sq.m.)Carpet area: 1403 sq.ft. (130.34 sq.m.),4,5,3+,11.0,South-West,1 to 5 Year Old,,2355.0,1535.0,1403.0,0,1,0,0,0,0,49
flat,ansal api sushant estate,sector 52,29 Lac,11600.0,Carpet area: 250 (23.23 sq.m.),1,1,0,0.0,,5 to 10 Year Old,,,,250.0,0,0,0,0,0,1,49
house,,sector 110,0.34,6800.0,Built Up area: 500 (46.45 sq.m.),1,1,0,1.0,,undefined,500.0,,500.0,,0,0,0,0,0,0,0
flat,bestech park view residency,sector 2,98 Lac,6261.0,Super Built up area 1565(145.39 sq.m.),2,2,3,14.0,South-West,5 to 10 Year Old,,1565.0,,,1,0,0,0,0,0,92
house,,manesar,1.1,6172.0,Plot area 1782(165.55 sq.m.),8,8,0,1.0,,0 to 1 Year Old,1782.0,,1782.0,,0,0,0,0,0,0,0
flat,gls arawali homes,sohna road,30 Lac,5291.0,Built Up area: 567 (52.68 sq.m.),2,2,0,10.0,,undefined,,,567.0,,0,0,0,0,0,0,0
house,,sector 4,1.9,8444.0,Plot area 250(209.03 sq.m.)Carpet area: 190 sq.yards (158.86 sq.m.),4,3,2,2.0,North-East,5 to 10 Year Old,2250.0,,,190.0,0,0,1,1,0,1,46
flat,dlf the arbour,sector 63,7.8 Crore,19747.0,Built Up area: 3950 (366.97 sq.m.),4,4,0,6.0,,undefined,,,3950.0,,0,0,0,0,0,0,61
flat,ramprastha the edge towers,sector 37d,80 Lac,5797.0,Super Built up area 1380(128.21 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,2.0,North-East,1 to 5 Year Old,,1380.0,1300.0,1200.0,0,0,0,0,0,0,78
flat,ireo skyon,sector 60,2.82 Crore,12818.0,Super Built up area 2403(223.25 sq.m.)Built Up area: 2400 sq.ft. (222.97 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,3,3,2.0,South-East,1 to 5 Year Old,,2403.0,2400.0,2200.0,0,1,0,0,0,1,174
flat,silverglades the melia,sohna road,78 Lac,5777.0,Super Built up area 1350(125.42 sq.m.),2,2,3,9.0,,Under Construction,,1350.0,,,1,0,0,0,0,0,72
flat,dlf park place,sector 54,5.75 Crore,24688.0,Super Built up area 2329(216.37 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,4,3,12.0,North-East,1 to 5 Year Old,,2329.0,1900.0,1700.0,0,1,0,0,0,2,174
house,nul,sector 28,12.5,51440.0,Plot area 270(225.75 sq.m.),16,17,3+,4.0,South,1 to 5 Year Old,2430.0,,270.0,,1,1,0,1,1,2,137
flat,capital residences 360,sector 70a,1.1 Crore,7586.0,Super Built up area 1450(134.71 sq.m.),2,2,3+,8.0,,0 to 1 Year Old,,1450.0,,,0,0,0,0,0,0,60
house,vatika signature villas,sector 82,4.7,21759.0,Plot area 240(200.67 sq.m.),3,3,3+,3.0,,0 to 1 Year Old,2160.0,,240.0,,0,1,0,0,0,0,33
house,,sector 41,7.25,29293.0,Plot area 275(229.94 sq.m.),9,8,3,4.0,South-West,10+ Year Old,2475.0,,275.0,,0,1,0,0,0,1,94
flat,spaze privy,sector 72,1.9 Crore,9620.0,Super Built up area 1975(183.48 sq.m.),3,3,3,10.0,,5 to 10 Year Old,,1975.0,,,0,1,0,0,0,1,31
flat,signature global park,sohna road,70 Lac,6071.0,Carpet area: 1153 (107.12 sq.m.),3,3,3,2.0,North,1 to 5 Year Old,,,,1153.0,0,0,0,1,0,0,152
house,bhim nagar society,sector 6,0.4,2500.0,Built Up area: 1600 (148.64 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),4,2,2,1.0,East,undefined,1600.0,,1600.0,800.0,0,0,0,0,0,0,0
flat,pivotal devaan,sector 84,34 Lac,5831.0,Super Built up area 583(54.16 sq.m.)Carpet area: 484 sq.ft. (44.97 sq.m.),2,2,1,3.0,East,1 to 5 Year Old,,583.0,,484.0,0,0,1,0,0,0,75
flat,shapoorji pallonji joyville gurugram,sector 102,1.42 Crore,10380.0,Built Up area: 1368 (127.09 sq.m.),2,2,3,14.0,,undefined,,,1368.0,,0,0,0,0,0,0,0
flat,pioneer park,sector 61,1.6 Crore,11594.0,Carpet area: 1380 (128.21 sq.m.),2,2,2,21.0,,1 to 5 Year Old,,,,1380.0,0,1,0,0,0,0,105
flat,shapoorji pallonji joyville gurugram,sector 102,2.12 Crore,16960.0,Built Up area: 1852 (172.06 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),3,3,3,9.0,,1 to 5 Year Old,,,1852.0,1250.0,0,0,0,0,0,0,72
flat,hsiidc sidco shivalik apartments,manesar,73 Lac,3560.0,Super Built up area 2050(190.45 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3+,2.0,South,5 to 10 Year Old,,2050.0,,1400.0,0,1,0,0,0,0,80
flat,malibu towne,sector 47,2.4 Crore,10000.0,Carpet area: 2400 (222.97 sq.m.),3,3,0,0.0,West,5 to 10 Year Old,,,,2400.0,0,0,0,0,0,1,22
house,international city by sobha phase 2,sector 109,7.0,11240.0,Plot area 692(578.6 sq.m.),5,5,3+,2.0,South,1 to 5 Year Old,6228.0,,692.0,,0,1,0,0,0,0,129
flat,pioneer park,sector 61,3.6 Crore,12627.0,Super Built up area 2851(264.87 sq.m.),4,4,3,3.0,North,5 to 10 Year Old,,2851.0,,,0,1,0,0,0,1,121
flat,dlf the skycourt,sector 86,1.35 Crore,6998.0,Super Built up area 1929(179.21 sq.m.),3,3,1,9.0,North-West,1 to 5 Year Old,,1929.0,,,0,0,0,0,0,0,119
flat,aipl club residences,sector 70a,1.27 Crore,9777.0,Carpet area: 1304 (121.15 sq.m.),2,2,3+,24.0,North-West,1 to 5 Year Old,,,,1304.0,0,0,0,0,1,1,113
flat,godrej,sector 79,1.93 Crore,8532.0,Super Built up area 2262(210.15 sq.m.),3,4,3+,5.0,East,1 to 5 Year Old,,2262.0,,,0,1,0,0,0,0,158
flat,sare green parc phase 3,sector 92,79 Lac,6086.0,Super Built up area 1298(120.59 sq.m.),3,2,2,15.0,North,0 to 1 Year Old,,1298.0,,,0,0,0,0,0,0,29
flat,bestech park view ananda,sector 81,1.1 Crore,6686.0,Super Built up area 1645(152.83 sq.m.)Carpet area: 1034 sq.ft. (96.06 sq.m.),3,2,3+,5.0,East,1 to 5 Year Old,,1645.0,,1034.0,0,0,0,0,0,0,150
flat,mapsko mount ville,sector 79,1.65 Crore,9091.0,Built Up area: 1815 (168.62 sq.m.),3,3,0,12.0,,undefined,,,1815.0,,0,0,0,0,0,0,0
flat,smart world orchard,sector 61,1.6 Crore,13913.0,Carpet area: 1150 (106.84 sq.m.),2,2,2,4.0,,Under Construction,,,,1150.0,0,0,0,0,0,0,16
house,sushant lok 1 builder floors,sector 43,2.45,7756.0,Plot area 60(50.17 sq.m.)Built Up area: 540 sq.yards (451.51 sq.m.)Carpet area: 351 sq.yards (293.48 sq.m.),4,4,3+,3.0,West,5 to 10 Year Old,3159.0,,540.0,351.0,1,1,0,1,1,2,123
flat,emaar mgf the palm drive,sector 66,3 Crore,14285.0,Super Built up area 2100(195.1 sq.m.),4,5,3+,10.0,East,1 to 5 Year Old,,2100.0,,,0,1,0,0,0,1,49
flat,umang winter hills,sector 77,1.4 Crore,6340.0,Built Up area: 1735 (161.19 sq.m.),3,3,3,10.0,North-East,undefined,,,1735.0,,0,0,0,0,0,0,28
flat,dlf the primus,sector 82a,2.6 Crore,11438.0,Super Built up area 2273(211.17 sq.m.)Carpet area: 1340 sq.ft. (124.49 sq.m.),4,4,3+,2.0,East,1 to 5 Year Old,,2273.0,,1340.0,0,0,0,0,1,0,38
flat,umang winter hills,sector 77,1.2 Crore,6586.0,Built Up area: 1822 (169.27 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3,3,3,14.0,East,undefined,,,1822.0,1200.0,0,0,0,0,0,0,46
house,dlf city plots,sector 26,26.0,57206.0,Plot area 505(422.24 sq.m.),6,7,3+,2.0,North-East,0 to 1 Year Old,4545.0,,505.0,,1,1,0,1,1,1,138
flat,smart world gems,sector 89,95 Lac,8600.0,Carpet area: 1103 (102.47 sq.m.),2,2,2,4.0,,Within 6 months,,,,1103.0,1,1,0,0,0,0,38
flat,ss the leaf,sector 85,2.13 Crore,7574.0,Super Built up area 2812(261.24 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),4,4,3,6.0,North,1 to 5 Year Old,,2812.0,2600.0,2400.0,0,0,0,0,0,0,49
house,rwa sector 46,sector 46,4.5,24390.0,Plot area 204(170.57 sq.m.)Built Up area: 206 sq.yards (172.24 sq.m.)Carpet area: 205 sq.yards (171.41 sq.m.),6,6,3+,3.0,North-East,5 to 10 Year Old,1845.0,,206.0,205.0,0,0,1,0,0,1,80
flat,tata primanti,sector 72,3.25 Crore,10545.0,Super Built up area 3300(306.58 sq.m.),3,3,3,2.0,South,5 to 10 Year Old,,3300.0,,,0,1,0,0,0,0,94
flat,emaar mgf palm hills,sector 77,1.9 Crore,9500.0,Super Built up area 2000(185.81 sq.m.)Carpet area: 1218.03 sq.ft. (113.16 sq.m.),3,4,3+,6.0,South-West,0 to 1 Year Old,,2000.0,,1218.03,0,1,0,0,0,1,42
flat,central park flower valley,sector 33,1.4 Crore,21538.0,Super Built up area 650(60.39 sq.m.),3,3,3,2.0,,By 2023,,650.0,,,0,0,0,0,0,0,54
house,dlf floors phase 3,sector 24,3.51,12342.0,Plot area 316(264.22 sq.m.),4,4,3,4.0,East,Oct 2023,2844.0,,316.0,,1,1,1,1,0,1,160
flat,the lions cghs,sector 56,1.99 Crore,11055.0,Super Built up area 2400(222.97 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),4,4,3+,4.0,East,10+ Year Old,,2400.0,2000.0,1800.0,0,0,0,1,1,1,105
flat,raheja vedaanta,sector 108,70 Lac,4666.0,Built Up area: 1468 (136.38 sq.m.)Carpet area: 1150 sq.ft. (106.84 sq.m.),2,2,1,10.0,West,5 to 10 Year Old,,,1468.0,1150.0,0,0,0,0,0,0,0
flat,sare petioles,sector 92,1.22 Crore,5250.0,Built Up area: 2093 (194.45 sq.m.),4,3,3,9.0,,Under Construction,,,2093.0,,0,1,0,0,0,0,99
flat,ats marigold,sector 89,1.5 Crore,8571.0,Carpet area: 1750 (162.58 sq.m.),3,3,3,2.0,,Within 3 months,,,,1750.0,0,0,0,0,1,0,49
house,vatika india next,sector 83,1.7,7870.0,Plot area 240(200.67 sq.m.),3,3,3+,4.0,North-West,0 to 1 Year Old,2160.0,,240.0,,0,1,0,1,0,0,0
flat,prasha apartments,manesar,75 Lac,3309.0,Super Built up area 2115(196.49 sq.m.),3,3,3+,3.0,West,5 to 10 Year Old,,2115.0,,,0,1,0,0,0,0,31
flat,dlf regal gardens,sector 90,1.27 Crore,5499.0,Super Built up area 1755(163.04 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3+,2.0,South-West,1 to 5 Year Old,,1755.0,1500.0,1400.0,0,0,0,0,1,0,72
house,,sector 55,4.6,21296.0,Plot area 240(200.67 sq.m.),3,3,3+,2.0,North,10+ Year Old,2160.0,,240.0,,0,1,1,1,0,1,37
flat,la vida by tata housing,sector 113,2.78 Crore,11346.0,Super Built up area 2690(249.91 sq.m.)Built Up area: 2599 sq.ft. (241.46 sq.m.)Carpet area: 2450 sq.ft. (227.61 sq.m.),3,3,3,3.0,North,0 to 1 Year Old,,2690.0,2599.0,2450.0,1,1,0,0,0,0,174
flat,ashiana anmol,sohna road,88 Lac,11125.0,Super Built up area 1275(118.45 sq.m.)Carpet area: 791 sq.ft. (73.49 sq.m.),2,2,2,13.0,East,1 to 5 Year Old,,1275.0,,791.0,0,0,0,0,0,2,127
flat,pivotal riddhi siddhi,sector 99,40 Lac,4444.0,Super Built up area 900(83.61 sq.m.)Carpet area: 587 sq.ft. (54.53 sq.m.),2,2,2,9.0,,0 to 1 Year Old,,900.0,,587.0,0,0,0,0,0,0,60
house,unitech uniworld resorts,sector 33,11.5,24573.0,Plot area 520(434.79 sq.m.),5,6,3+,4.0,East,1 to 5 Year Old,4680.0,,520.0,,0,1,0,0,0,0,84
flat,ansals duplex flat,sector 2,95 Lac,7307.0,Carpet area: 1300 (120.77 sq.m.),2,3,2,1.0,North-East,10+ Year Old,,,,1300.0,1,0,0,0,0,1,20
house,jacob pura,sector 12,0.35,9722.0,Built Up area: 360 (33.45 sq.m.),2,1,0,,,10+ Year Old,360.0,,360.0,,0,0,0,0,0,0,0
flat,sare green parc phase 3,sector 92,95 Lac,4856.0,Super Built up area 1956(181.72 sq.m.),4,3,3,4.0,North,5 to 10 Year Old,,1956.0,,,0,0,0,0,0,0,67
flat,m3m merlin,sector 67,2.78 Crore,13580.0,Super Built up area 2047(190.17 sq.m.),3,3,3+,4.0,South-West,1 to 5 Year Old,,2047.0,,,0,0,0,1,0,1,157
house,birla navya,sector 63a,3.85,15437.0,Carpet area: 2494 (231.7 sq.m.),3,3,3+,4.0,,Within 6 months,2494.0,,,2494.0,0,1,0,0,0,1,160
house,not applicable,sector 4,0.8,54794.0,Plot area 146(13.56 sq.m.),5,4,3,3.0,,By 2024,146.0,,146.0,,0,0,0,0,0,0,0
flat,emaar mgf emerald floors premier,sector 65,2.35 Crore,14242.0,Built Up area: 1650 (153.29 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3,3,3,2.0,South-West,1 to 5 Year Old,,,1650.0,1200.0,1,1,0,0,0,0,158
flat,emaar mgf the palm drive,sector 66,3 Crore,15384.0,Super Built up area 1950(181.16 sq.m.)Built Up area: 1720 sq.ft. (159.79 sq.m.)Carpet area: 1620 sq.ft. (150.5 sq.m.),3,3,2,12.0,East,1 to 5 Year Old,,1950.0,1720.0,1620.0,0,1,0,0,0,0,96
flat,corona optus,sector 37c,1.27 Crore,7203.0,Super Built up area 1763(163.79 sq.m.)Carpet area: 1410 sq.ft. (130.99 sq.m.),3,3,3,2.0,South,1 to 5 Year Old,,1763.0,,1410.0,1,0,0,0,1,0,49
house,,sector 17,3.5,218750.0,Built Up area: 160 (14.86 sq.m.),6,6,3+,3.0,North-West,undefined,160.0,,160.0,,0,0,0,0,0,0,0
flat,indiabulls enigma,sector 110,3.4 Crore,10000.0,Super Built up area 3400(315.87 sq.m.)Built Up area: 3000 sq.ft. (278.71 sq.m.)Carpet area: 2800 sq.ft. (260.13 sq.m.),4,5,3,10.0,South-West,1 to 5 Year Old,,3400.0,3000.0,2800.0,0,1,0,0,0,0,152
house,dlf new town heights,sector 86,2.5,7058.0,Plot area 3400(315.87 sq.m.),4,4,3+,3.0,East,5 to 10 Year Old,3542.0,,3400.0,,1,1,1,1,0,1,142
flat,tulip lemon,sector 69,60 Lac,10000.0,Carpet area: 600 (55.74 sq.m.),2,1,1,12.0,,1 to 5 Year Old,,,,600.0,0,0,0,0,0,0,23
house,,sector 41,7.0,28283.0,Plot area 275(229.94 sq.m.),7,7,3+,3.0,South-West,5 to 10 Year Old,2475.0,,275.0,,1,1,1,1,0,2,151
flat,avl 36 gurgaon,sector 36a,75 Lac,7500.0,Super Built up area 1000(92.9 sq.m.)Carpet area: 727 sq.ft. (67.54 sq.m.),2,2,2,5.0,North-East,1 to 5 Year Old,,1000.0,,727.0,0,0,0,0,0,0,26
flat,adani m2k oyster grande,sector 102,1.95 Crore,7561.0,Super Built up area 2579(239.6 sq.m.),3,4,3,9.0,South,1 to 5 Year Old,,2579.0,,,1,1,0,0,0,1,83
flat,ireo skyon,sector 60,2.85 Crore,13936.0,Super Built up area 2045(189.99 sq.m.)Built Up area: 1640 sq.ft. (152.36 sq.m.)Carpet area: 1490 sq.ft. (138.43 sq.m.),3,4,3+,5.0,South,1 to 5 Year Old,,2045.0,1640.0,1490.0,0,1,0,0,0,1,174
flat,bestech park view ananda,sector 81,1.35 Crore,7541.0,Carpet area: 1790 (166.3 sq.m.),3,3,3+,8.0,North,10+ Year Old,,,,1790.0,0,0,0,0,0,0,114
flat,godrej oasis,sector 88a,1.45 Crore,8367.0,Super Built up area 161Carpet area: 108.4 sq.m.,2,2,3+,9.0,,1 to 5 Year Old,,161.0,,108.4,1,0,0,0,0,2,85
house,,sector 7,0.45,5000.0,Plot area 900(83.61 sq.m.),3,2,1,2.0,North-West,10+ Year Old,900.0,,900.0,,0,0,0,0,1,0,12
flat,smart world gems,sector 89,86 Lac,7796.0,Super Built up area 1103(102.47 sq.m.),2,3,3,4.0,,By 2023,,1103.0,,,0,0,0,0,0,0,45
flat,pyramid urban,sector 67a,55 Lac,10516.0,Carpet area: 523 (48.59 sq.m.),2,2,2,3.0,South-West,1 to 5 Year Old,,,,523.0,0,0,0,0,0,0,73
flat,m3m merlin,sector 67,4.5 Crore,14267.0,Super Built up area 3154(293.02 sq.m.),4,4,3+,15.0,South-West,1 to 5 Year Old,,3154.0,,,0,1,0,0,0,1,158
flat,tulip violet,sector 69,1.43 Crore,8886.0,Super Built up area 1608(149.39 sq.m.),3,3,2,1.0,North-West,1 to 5 Year Old,,1608.0,,,0,0,0,1,0,0,86
flat,sapphire eighty three,sector 83,65 Lac,9286.0,Built Up area: 700 (65.03 sq.m.),1,1,0,6.0,,undefined,,,700.0,,0,0,0,0,0,0,0
flat,ramsons kshitij,sector 95,33 Lac,3911.0,Super Built up area 767(71.26 sq.m.),2,2,1,14.0,South,0 to 1 Year Old,,767.0,,,0,0,0,0,1,1,79
flat,ramsons kshitij,sector 95,31 Lac,5.0,Carpet area: 607936 (56479.1 sq.m.),2,2,1,1.0,North-East,1 to 5 Year Old,,,,607936.0,1,0,0,0,1,0,65
flat,raheja atharva,sector 109,2.2 Crore,9490.0,Carpet area: 2318 (215.35 sq.m.),3,3,2,7.0,North,5 to 10 Year Old,,,,2318.0,0,1,0,0,0,1,111
house,huda ashok vihar phase,sector 4,0.7,10233.0,Plot area 684(63.55 sq.m.),3,2,1,2.0,North-East,0 to 1 Year Old,684.0,,684.0,,1,0,0,0,0,0,7
flat,parsvnath green ville,sector 48,1.75 Crore,7201.0,Super Built up area 2430(225.75 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3,3,3,7.0,South,10+ Year Old,,2430.0,2200.0,1800.0,0,1,0,0,0,2,109
flat,m3m ikonic,sector 68,1.78 Crore,9128.0,Super Built up area 1950(181.16 sq.m.)Built Up area: 1845 sq.ft. (171.41 sq.m.)Carpet area: 1530 sq.ft. (142.14 sq.m.),3,3,3+,27.0,South,1 to 5 Year Old,,1950.0,1845.0,1530.0,0,0,0,0,0,1,126
flat,assotech blith,sector 99,1.9 Crore,6702.0,Built Up area: 2835 (263.38 sq.m.),4,4,3+,2.0,North-East,undefined,,,2835.0,,0,0,0,0,0,0,51
flat,breez global heights,sohna road,46 Lac,4842.0,Super Built up area 950(88.26 sq.m.)Built Up area: 800 sq.ft. (74.32 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),2,2,2,4.0,North-East,1 to 5 Year Old,,950.0,800.0,700.0,0,0,0,0,0,2,93
flat,umang monsoon breeze,sector 78,70 Lac,5719.0,Built Up area: 1224 (113.71 sq.m.),2,2,2,5.0,,undefined,,,1224.0,,0,0,0,0,0,0,0
flat,spaze privvy the address,sector 93,1.25 Crore,6900.0,Super Built up area 1805(167.69 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),3,4,2,12.0,North-East,1 to 5 Year Old,,1805.0,1350.0,1100.0,0,0,0,0,0,1,96
house,,sector 13,1.5,11538.0,Plot area 1300(120.77 sq.m.),10,7,3,4.0,East,5 to 10 Year Old,1300.0,,1300.0,,0,0,0,0,0,0,0
flat,vatika gurgaon,sector 83,95 Lac,6574.0,Super Built up area 1445(134.24 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,5.0,South,1 to 5 Year Old,,1445.0,1300.0,1200.0,0,0,0,0,0,1,96
flat,ats tourmaline,sector 109,1.5 Crore,6976.0,Super Built up area 2150(199.74 sq.m.)Built Up area: 1797 sq.ft. (166.95 sq.m.)Carpet area: 1670 sq.ft. (155.15 sq.m.),3,4,3+,4.0,North-West,1 to 5 Year Old,,2150.0,1797.0,1670.0,0,1,0,0,0,0,39
flat,sare crescent parc,sector 92,51 Lac,4080.0,Super Built up area 1250(116.13 sq.m.),3,2,2,2.0,North,1 to 5 Year Old,,1250.0,,,0,0,0,0,0,0,72
flat,antriksh heights,sector 84,49 Lac,4355.0,Super Built up area 1125(104.52 sq.m.),2,2,2,16.0,East,1 to 5 Year Old,,1125.0,,,0,0,0,0,0,0,66
flat,emaar mgf palm hills,sector 77,1.25 Crore,8620.0,Super Built up area 1450(134.71 sq.m.)Carpet area: 1177 sq.ft. (109.35 sq.m.),3,4,3,3.0,North,1 to 5 Year Old,,1450.0,,1177.0,1,1,0,0,0,0,49
flat,spaze privy,sector 72,1.9 Crore,9620.0,Built Up area: 1975 (183.48 sq.m.),3,3,3,10.0,,undefined,,,1975.0,,0,0,0,0,0,0,0
flat,godrej meridien,sector 106,3.2 Crore,16000.0,Carpet area: 2002 (185.99 sq.m.),3,3,3+,6.0,,Sep 2025,,,,2002.0,0,1,0,0,0,0,49
flat,whiteland blissville,sector 76,1.92 Crore,11500.0,Built Up area: 1672 (155.33 sq.m.)Carpet area: 940 sq.ft. (87.33 sq.m.),3,3,2,2.0,,undefined,,,1672.0,940.0,0,0,0,0,0,0,61
